age,race,,,,,,,,,,,,
34,White,,,,,,,,,,,,
33,White,,,,,,,,,,,,
56,Unknown race,,,,,,,,,,,,
62,White,,,,,,,,,,,,
26,White,,,,,,,,,,,,
24,Asian,,,,,,,,,,,,
24,Black,,,,,,,,,,,,
45,White,,,,,,,,,,,,
42,Hispanic,,,,,,,,,,,,
50,Hispanic,,,,,,,,,,,,
39,Black,,,,,,,,,,,,
25,Black,,,,,,,,,,,,
63,White,,,,,,,,,,,,
27,Unknown race,,,,,,,,,,,,
45,Asian,,,,,,,,,,,,
31,Unknown race,,,,,,,,,,,,
40,White,,,,,,,,,,,,
27,Hispanic,,,,,,,,,,,,
36,Black,,,,,,,,,,,,
45,White,,,,,,,,,,,,
19,White,,,,,,,,,,,,
53,White,,,,,,,,,,,,
45,White,,,,,,,,,,,,
29,Hispanic,,,,,,,,,,,,
34,White,,,,,,,,,,,,
41,White,,,,,,,,,,,,
48,Black,,,,,,,,,,,,
61,Unknown race,,,,,,,,,,,,
29,White,,,,,,,,,,,,
55,Unknown race,,,,,,,,,,,,
21,White,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
39,White,,,,,,,,,,,,
36,Unknown race,,,,,,,,,,,,
36,Black,,,,,,,,,,,,
30,Black,,,,,,,,,,,,
33,White,,,,,,,,,,,,
51,White,,,,,,,,,,,,
61,Unknown race,,,,,,,,,,,,
34,White,,,,,,,,,,,,
41,Hispanic,,,,,,,,,,,,
38,White,,,,,,,,,,,,
29,White,,,,,,,,,,,,
46,Unknown race,,,,,,,,,,,,
34,Unknown race,,,,,,,,,,,,
27,White,,,,,,,,,,,,
31,Black,,,,,,,,,,,,
21,Black,,,,,,,,,,,,
21,Black,,,,,,,,,,,,
28,White,,,,,,,,,,,,
28,White,,,,,,,,,,,,
30,Black,,,,,,,,,,,,
28,White,,,,,,,,,,,,
26,Black,,,,,,,,,,,,
30,White,,,,,,,,,,,,
61,Black,,,,,,,,,,,,
54,White,,,,,,,,,,,,
31,Black,,,,,,,,,,,,
29,Hispanic,,,,,,,,,,,,
19,Hispanic,,,,,,,,,,,,
26,Hispanic,,,,,,,,,,,,
22,Hispanic,,,,,,,,,,,,
32,Unknown race,,,,,,,,,,,,
28,Black,,,,,,,,,,,,
21,Black,,,,,,,,,,,,
40,Unknown race,,,,,,,,,,,,
56,Unknown race,,,,,,,,,,,,
19,White,,,,,,,,,,,,
57,Hispanic,,,,,,,,,,,,
24,Black,,,,,,,,,,,,
48,White,,,,,,,,,,,,
58,Unknown race,,,,,,,,,,,,
32,White,,,,,,,,,,,,
31,Black,,,,,,,,,,,,
48,White,,,,,,,,,,,,
37,Unknown race,,,,,,,,,,,,
28,White,,,,,,,,,,,,
33,White,,,,,,,,,,,,
31,White,,,,,,,,,,,,
54,Native American,,,,,,,,,,,,
37,Hispanic,,,,,,,,,,,,
42,Unknown race,,,,,,,,,,,,
55,Black,,,,,,,,,,,,
25,White,,,,,,,,,,,,
33,White,,,,,,,,,,,,
37,White,,,,,,,,,,,,
61,Unknown race,,,,,,,,,,,,
32,White,,,,,,,,,,,,
50,White,,,,,,,,,,,,
75,White,,,,,,,,,,,,
38,White,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
31,Black,,,,,,,,,,,,
37,Unknown race,,,,,,,,,,,,
36,White,,,,,,,,,,,,
38,Unknown race,,,,,,,,,,,,
37,White,,,,,,,,,,,,
27,Black,,,,,,,,,,,,
33,White,,,,,,,,,,,,
20,White,,,,,,,,,,,,
28,White,,,,,,,,,,,,
25,Black,,,,,,,,,,,,
49,Black,,,,,,,,,,,,
64,White,,,,,,,,,,,,
32,White,,,,,,,,,,,,
67,White,,,,,,,,,,,,
63,Unknown race,,,,,,,,,,,,
41,Unknown race,,,,,,,,,,,,
31,Unknown race,,,,,,,,,,,,
63,Hispanic,,,,,,,,,,,,
74,White,,,,,,,,,,,,
28,White,,,,,,,,,,,,
50,Native American,,,,,,,,,,,,
29,Unknown race,,,,,,,,,,,,
21,Unknown race,,,,,,,,,,,,
57,Unknown race,,,,,,,,,,,,
24,Hispanic,,,,,,,,,,,,
18,Black,,,,,,,,,,,,
74,Unknown race,,,,,,,,,,,,
32,Black,,,,,,,,,,,,
38,Black,,,,,,,,,,,,
43,White,,,,,,,,,,,,
49,Black,,,,,,,,,,,,
33,Black,,,,,,,,,,,,
34,White,,,,,,,,,,,,
44,White,,,,,,,,,,,,
57,White,,,,,,,,,,,,
39,Black,,,,,,,,,,,,
36,White,,,,,,,,,,,,
34,Hispanic,,,,,,,,,,,,
27,Black,,,,,,,,,,,,
53,Black,,,,,,,,,,,,
33,White,,,,,,,,,,,,
50,White,,,,,,,,,,,,
41,Unknown race,,,,,,,,,,,,
37,Unknown race,,,,,,,,,,,,
31,Black,,,,,,,,,,,,
41,Hispanic,,,,,,,,,,,,
28,White,,,,,,,,,,,,
33,Hispanic,,,,,,,,,,,,
31,Black,,,,,,,,,,,,
54,Unknown race,,,,,,,,,,,,
76,Unknown race,,,,,,,,,,,,
25,Unknown race,,,,,,,,,,,,
77,White,,,,,,,,,,,,
17,Black,,,,,,,,,,,,
29,Unknown race,,,,,,,,,,,,
35,Hispanic,,,,,,,,,,,,
43,Black,,,,,,,,,,,,
